接続成功！
 製品名: Nintendo RVL-CNT-01
 メーカー名: Nintendo

デバイスに 22 バイトのレポート形式設定コマンドを送信しました。

データ読み取りを開始します... (Ctrl+Cで停止)
ジャンプ判定基準: 踏み切り > 1.0g, 空中 < 0.5g
--------------------------------------------------
531 424 528
532 424 528
531 424 528
532 424 528
530 424 528
532 427 524
531 427 528
532 425 528
531 427 528
532 424 528
530 424 528
532 424 528
530 424 528
532 425 528
531 427 528
532 424 528
531 424 528
532 424 528
531 427 528
532 424 528
531 424 528
532 425 528
531 427 528
532 424 528
531 424 528
532 425 528
531 424 528
532 424 528
531 424 528
532 425 528
531 427 528
532 424 528
530 424 528
532 425 528
530 424 528
532 425 528
531 427 528
532 425 528
531 427 528
532 424 528
531 424 528
532 424 528
531 427 528
532 425 528
531 426 528
532 424 528
530 424 528
532 425 528
531 427 528
532 425 528
531 427 528
532 424 528
530 424 528
532 424 528
531 426 528
532 425 528
530 427 528
532 424 528
531 424 528
532 425 528
531 427 528
532 425 528
531 427 528
532 424 528
530 426 528
532 425 528
531 425 528
532 424 528
530 424 528
532 425 528
531 426 528
532 425 528
531 424 528
532 425 528
531 425 528
532 425 528
531 426 528
532 425 528
531 427 528
532 424 528
531 427 528
532 427 528
537 425 532
548 427 516
546 424 516
537 425 528
530 425 536
530 425 532
532 424 532
520 423 516
525 426 524
527 425 536
523 427 520
514 426 536
522 426 532
525 421 540
538 431 544
542 427 532
540 423 528
526 423 520
522 430 540
525 424 528
532 425 528
531 426 520
527 427 524
528 426 524
530 418 520
528 424 528
530 426 524
527 424 528
531 424 524
531 424 532
535 425 536
532 424 528
529 424 528
531 426 524
535 425 532
537 424 532
532 426 528
531 425 532
530 426 524
521 426 524
518 426 532
521 426 528
525 424 528
529 421 512
526 424 528
546 429 528
530 426 524
534 425 536
532 426 532
531 425 536
532 424 532
531 426 532
529 426 528
527 425 528
529 426 524
532 426 524
536 424 528
536 426 532
534 424 532
534 427 528
531 424 528
523 424 528
522 426 532
526 424 528
526 424 524
531 427 528
531 427 532
529 427 528
527 427 528
528 424 528
535 427 528
537 427 524
536 427 528
535 426 528
533 426 524
533 424 528
530 424 532
526 424 532
527 424 528
527 426 524
534 426 520
531 425 540
536 425 532
531 426 520
528 424 528
534 425 532
534 425 528
531 427 528
532 427 528
529 424 532
522 424 532
517 426 532
515 426 532
519 424 532
526 426 524
530 426 524
532 424 528
533 426 524
537 424 528
538 424 532
539 427 528
538 427 524
536 424 528
533 426 524
530 424 528
526 426 528
525 425 532
526 425 536
526 427 528
523 424 528
523 426 524
522 424 532
532 425 528
534 426 520
534 425 532
541 427 528
538 427 528
534 424 528
536 426 528
531 426 524
532 424 528
531 425 532
527 426 528
531 427 528
529 425 532
530 425 528
534 424 528
533 426 524
533 424 528
529 426 524
530 426 528
534 426 528
529 424 528
532 427 528
529 424 528
532 424 528
531 424 528
532 425 528
531 427 528
532 424 528
531 427 528
532 424 528
531 427 528
532 425 528
530 427 528
532 426 528
536 428 528
529 426 516
523 426 532
530 424 528
535 426 524
529 424 536
536 427 528
